temperature_2_m_above_gnd,relative_humidity_2_m_above_gnd,mean_sea_level_pressure_MSL,total_precipitation_sfc,snowfall_amount_sfc,shortwave_radiation_backwards_sfc,angle_of_incidence,zenith,azimuth,power_output
279.33,41,1041.2,0,0,111.25,33.120046,68.216158,151.215,2222.6927
282.64,40,1040,0,0,263.44,22.415204,64.043501,165.68476,2533.2102
285.61,36,1038.8,0,0,384.48,18.108999,62.732777,181.05875,2627.5657
287.47,27,1032.5,0,0,462.8,23.715326,64.47128,196.51641,2554.7255
288.21,26,1034.2,0,0,487.72,34.919123,69.0196,210.80309,2281.9892
288.02,26,1033.3,0,0,456.57,47.925942,75.853518,223.49251,1107.7147
286.64,33,1034.9,0,0,374.69,61.372756,84.245064,234.52776,130.56522
273.98,78,1035.4,0,0,0,59.576432,82.999117,126.78663,33.746162
274.57,81,1034.2,0,0,2.67,46.031062,74.690298,138.11256,335.80854
278.39,71,1033.7,0,0,113.03,33.140946,68.117352,151.04407,2133.7886
280.83,68,1035,0,0,262.55,22.385128,63.923728,165.50514,2506.0048
281.31,68,1033.3,0,0,375.58,17.952533,62.578322,181.16953,2555.6055
281.81,67,1033.3,0,0,450.34,23.542523,64.301741,196.45579,2361.4471
282.02,71,1034.2,0,0,468.14,34.769401,68.842473,210.7815,2239.379
282.16,70,1033.6,0,0,441.44,47.798229,75.675693,223.50249,1209.1943
282.23,69,1031.9,0,0,365.79,61.265693,84.074051,234.56117,116.31498
273.02,93,1036.2,0,0,0,59.64523,82.939972,126.61287,503.15395
272.95,94,1036.6,0,0,2.67,46.075248,74.60728,137.9439,1400.0511
276.06,84,1036,0,0,107.69,33.146766,68.007658,150.8866,2166.6904
279.1,73,1034.2,0,0,255.43,22.289876,63.776773,165.41479,2542.4739
281.39,64,1032.7,0,0,374.69,17.800296,62.419861,181.04397,2677.5709
283.43,44,1029.3,0,0,457.46,23.366081,64.125882,196.39896,2607.0784
283.9,45,1029.1,0,0,480.6,34.618664,68.659827,210.76496,2304.9839
283.78,44,1028.7,0,0,450.34,47.670941,75.493205,223.51827,1244.6791
282.87,48,1029.1,0,0,371.13,61.159809,83.898968,234.60081,135.79522
272.18,67,1029.2,0,0,0,59.711404,82.874387,126.43606,445.91228
272.03,73,1030.2,0,0,2.67,46.116121,74.517462,137.77297,1353.1714
275.7,63,1029,0,0,110.36,33.148459,67.890934,150.72797,2127.6647
280.6,52,1026.1,0,0,260.77,22.219137,63.632764,165.2803,2437.0792
283.93,38,1024.3,0,0,380.03,17.637551,62.253394,180.84246,2568.2777
285.76,31,1023.7,0,0,453.01,23.18615,63.943789,196.34598,2350.5334
285.82,32,1023.2,0,0,477.04,34.467074,68.471763,210.75351,968.71618
285.72,34,1022.4,0,0,452.12,47.544217,75.306158,223.53989,233.24195
285.24,37,1022.3,0,0,373.8,61.055217,83.719925,234.64669,40.214319
276.84,97,1027.4,0.1,0,0,59.774919,82.802362,126.25627,480.82352
276.18,98,1027.7,0.1,0,2.67,46.153679,74.420858,137.59984,1400.3916
278.07,82,1027.1,0,0,108.58,33.14606,67.767205,150.56824,2190.3046
279.08,76,1027.6,0,0,258.1,22.143084,63.481713,165.14625,2537.5603
280.43,69,1026.3,0,0,381.81,17.466135,62.079493,180.74748,2689.5167
282.6,65,1025.4,0,0,457.46,23.002835,63.755529,196.29693,2590.2565
